"","geneid","Mlowhi.logFC","Mlowhi.AveExpr","Mlowhi.t","Mlowhi.P.Value","Mlowhi.adj.P.Val","Mlowhi.B","Plowhi.logFC","Plowhi.AveExpr","Plowhi.t","Plowhi.P.Value","Plowhi.adj.P.Val","Plowhi.B","Diff.logFC","Diff.AveExpr","Diff.t","Diff.P.Value","Diff.adj.P.Val","Diff.B"
"1565","CG10300",-0.0672522214111935,1.42584827304686,-0.394176698152926,0.699299500480727,0.835963807033398,-6.62352079851798,0.295057588454138,1.42584827304686,1.78928739342978,0.0948859851832826,0.192551586443838,-5.00678496395587,-0.362309809865331,1.42584827304686,-1.52692614262799,0.148715604067594,0.455248762268548,-5.0537623070622
"1566","CG10307",0.0558956871205654,6.39459612244631,0.691803026790241,0.500203125688764,0.696936883845013,-7.20868265708099,-0.114560383285427,6.39459612244631,-1.55204779934359,0.142621568927422,0.25968371690011,-6.13812389989243,0.170456070405993,6.39459612244631,1.55757337141373,0.141310012342975,0.445872585529388,-5.7368639022367
"1567","CG10311",0.341913758971886,5.19930459587341,3.6808674769125,0.00241165175004716,0.025002430388244,-2.33211775042797,0.0140215914059905,5.19930459587341,0.16575266794941,0.870685480521503,0.920182899647383,-7.25078375439972,0.327892167565896,5.19930459587341,2.60985021380298,0.0203777858489214,0.178995652067759,-3.92448776071497
"1568","CG10317",-0.0610349432012542,6.67147829717272,-0.71189350811148,0.488048332632235,0.687480967678645,-7.19799783274482,-0.341147140256754,6.67147829717272,-4.34688902097027,0.000647335566887932,0.00485740720796262,-0.9353914490682,0.2801121970555,6.67147829717272,2.40993838400659,0.0300477893112462,0.214385912501588,-4.34934432957485
"1569","CG10321",-0.120671713986835,5.1972947066825,-1.53154288341835,0.147579414106189,0.334241383709068,-6.24349634476529,-0.146447762221846,5.1972947066825,-2.02213919438372,0.0623954151462338,0.140521076818177,-5.34576458001461,0.0257760482350111,5.1972947066825,0.240855703786678,0.813105529804408,0.93037977882868,-6.83130232708985
"1570","CG10324",0.206549648032305,2.39784759599197,1.27566983906938,0.22252092962534,0.42905098272902,-6.12489912052487,-0.143974149525457,2.39784759599197,-0.986517622074181,0.340371032196884,0.486107631026194,-6.32175644680028,0.350523797557762,2.39784759599197,1.60805344678854,0.129797030627587,0.427052406469005,-5.18127800389768
"1571","CG10332",2.79358600811472,2.61482268029356,1.36726887206313,0.207987689132332,0.41163775564118,-6.15272578716799,-4.01307182641525,2.61482268029356,-1.38801933396755,0.201824954812028,0.334946347744235,-5.57529594796638,6.80665783452996,2.61482268029356,1.92261770907997,0.0900052000253063,0.360150674834846,-4.67170812184089
"1572","CG10333",-0.0958765575909739,4.01567522655944,-0.926517659278761,0.369638034392427,0.584486786069784,-6.82462609535068,-0.0010080412375495,4.01567522655944,-0.0105651327908628,0.991717218972923,0.996227698711182,-7.12326099862948,-0.0948685163534244,4.01567522655944,-0.674002278991156,0.511119906584847,0.779331360956628,-6.49341955115833
"1573","CG10336",0.384111788411972,1.60345735855067,2.05412217655544,0.0588287703165456,0.189185579156817,-4.75626038040913,0.0684811786620858,1.60345735855067,0.422138435851279,0.679237804233811,0.784210919433581,-6.52339260732699,0.315630609749886,1.60345735855067,1.27498512684265,0.222756379581822,0.549009558815244,-5.40823319385887
"1574","CG10337",0.260910326979067,1.41194917443528,1.28246846565483,0.220193805396802,0.426320779271149,-5.86005039510093,0.313411969505573,1.41194917443528,1.78914646925686,0.0949095487913181,0.192573761626906,-5.08884957657287,-0.0525016425265059,1.41194917443528,-0.195559784423237,0.847722058168234,0.94451541711183,-6.15989427225803
"1575","CG10338",0.0469676189627091,3.5109990723126,0.434919026495823,0.67015017232139,0.815739927069058,-7.08636444620142,-0.0558069028728179,3.5109990723126,-0.572382733370728,0.576002412569184,0.700301297770591,-6.89010734772543,0.102774521835527,3.5109990723126,0.706386578653272,0.491362384555064,0.769536814368428,-6.39925967166863
"1576","CG10339",-0.20033304900525,1.43919357740872,-1.21825123968138,0.242958983431035,0.45204430563899,-5.91764613029515,-0.396440497877647,1.43919357740872,-2.73029970420074,0.0160825906130781,0.0526867327909094,-3.43007241928145,0.196107448872397,1.43919357740872,0.89394361580715,0.386234578538701,0.697612969191306,-5.75357914018706
"1577","CG10340",0.0184827003418002,5.62429472834933,0.176651530962645,0.862273784154045,0.931659161326313,-7.41068464164029,-0.0084724744431508,5.62429472834933,-0.0889576535866067,0.930356505874599,0.958857993475951,-7.29044220061242,0.026955174784951,5.62429472834933,0.190516172238644,0.851598217207496,0.945872382006293,-6.87344711417144
"1578","CG10341",-0.0151040415575321,3.73380913198509,-0.145426756429103,0.886415543622128,0.942442645793304,-7.25195186449695,-0.26068403074558,3.73380913198509,-2.50707129054254,0.0249005992775676,0.0722003677682895,-4.27621147699019,0.245579989188048,3.73380913198509,1.67101187353582,0.116576522739023,0.40377868330516,-5.3436014602139
"1579","CG10343",0.283496380369965,4.48575021982786,3.03396795632987,0.00880003823512403,0.0557640676520957,-3.56838587049236,0.062835658106116,4.48575021982786,0.717796138030713,0.484511029703291,0.623855026417553,-6.91634758448717,0.220660722263849,4.48575021982786,1.72336599666217,0.106490379566222,0.386625844422407,-5.37552988595153
