"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Tob",0.0327269145333864,7.6669205132551,0.609119825389855,0.551945091787092,0.707336293208483,-7.258000011301
"CG44158",0.0735776568710841,2.47601494469222,0.608732260975249,0.552194964566067,0.707585410299705,-6.85119695718945
"lncRNA:CR44401",-0.202141123920318,1.73665647607951,-0.610821339817045,0.552283028202071,0.707585410299705,-6.67916852740986
"Yp3",0.108189445881119,2.74515791063462,0.608881143560057,0.552286908712133,0.707585410299705,-6.90683530442754
"412{}CG33267[iso-1]",-1.07302263003737,-1.86239502779801,-0.61359325343747,0.55232519953578,0.707585410299705,-5.71356391013775
"CG4860",-0.0804528692533156,1.91759070551854,-0.608427358696653,0.552391586138389,0.707610975266794,-6.7101512528478
"IntS6",-0.0441413668609822,5.08589570958732,-0.608083124041414,0.552613617594492,0.707795743495428,-7.22784758481307
"asRNA:CR45831",0.109587603779165,1.87828083032601,0.608059726536526,0.55262871075145,0.707795743495428,-6.70862752470245
"mdg1{}1720",-0.204681688581135,-0.401580602393668,-0.607968894369531,0.552687306478003,0.707811306783594,-6.12159165698047
"Menl-2",-0.0473292590968774,7.39309205398217,-0.607782127993802,0.552807799853789,0.707906131398348,-7.26721639136927
"CG32318",-0.292897472653582,-1.45026852129466,-0.607242657061996,0.553174273313881,0.708315907015925,-5.87939482941079
"lncRNA:CR43150",0.145020004429433,-0.394786473523734,0.60687877208401,0.553390806280785,0.708468083394677,-6.11630879452884
"CG9521",-0.134165067101754,-0.834653607827617,-0.606818371052304,0.55342979969884,0.708468083394677,-6.00218781012188
"RapGAP1",-0.0528071968839615,5.8108602016671,-0.606814063054117,0.553432580893283,0.708468083394677,-7.26716415340813
"CG17650",0.106722401308156,2.52083769117556,0.606666634566832,0.553557637500117,0.708568654082125,-6.8600409620106
"pon",-0.0781472532478013,1.16396609655513,-0.606473666269548,0.553652361136142,0.708627783909839,-6.51297883949559
"PGRP-SD",0.116394539333851,1.55907785844425,0.606404805478023,0.553696827480208,0.708627783909839,-6.61860744128359
"CG43155",0.153717063050971,-1.25208166960756,0.606248483846641,0.553797778198607,0.708639520771704,-5.91397698257764
"CR46421",-0.751760766631581,-2.38679852404366,-0.609793197046733,0.553798995563714,0.708639520771704,-5.66443452910502
"CG34167",-0.0850501864270747,2.76485531508185,-0.606115873608396,0.553883424193412,0.708688051776307,-6.91828523819718
"TM9SF2",-0.0503028383208714,6.26494751544359,-0.60567061353615,0.554171046829759,0.708996537414836,-7.27906051089489
"CG15382",-0.129108027605487,1.225236897613,-0.60548054936801,0.554293846362485,0.709094117230276,-6.54571227485792
"CG15425",0.045556701696111,5.95700058712675,0.605261870787375,0.554435151762627,0.709215352766697,-7.27389110704772
