"","logFC","AveExpr","t","P.Value","adj.P.Val","B","geneid"
"Kcmf1",-0.121455626705113,7.87132148413748,-1.44401309338725,0.170540854038399,0.295278642984003,-6.41579254585621,"Kcmf1"
"CG46426",-3.72907133869228,1.7660727744642,-1.48647750711136,0.170693934451841,0.295510117124396,-5.45647342093438,"CG46426"
"CG3634",-0.0950696289718569,3.79806241201748,-1.44332242574021,0.170732060425254,0.295542548941489,-6.23468989961852,"CG3634"
"CG13474",0.330352731839961,-0.264909317428951,1.44320339642603,0.17076503081171,0.295566049922824,-5.2819904503887,"CG13474"
"CG32213",0.572389765197664,-1.21879798528598,1.44590264184933,0.170944051565113,0.295842305911006,-5.17398126954981,"CG32213"
"asRNA:CR45024",0.384421290842048,-1.1934742554386,1.44241204376393,0.170984365040167,0.295869998634266,-5.08119318792692,"asRNA:CR45024"
"Rad9",0.225725213865952,1.58450442174092,1.44235969990179,0.170998881100434,0.295869998634266,-5.76443278927672,"Rad9"
"CG33111",-0.10272251033954,4.44517117690915,-1.44228301117232,0.171020150354642,0.29587320824211,-6.32359371981651,"CG33111"
"H{}1737",0.416932720363034,-1.31307040187627,1.44208454767782,0.171075203455403,0.295932908759383,-5.07032446734997,"H{}1737"
"CG44014",-0.139655223194897,4.57021594397706,-1.44199059848898,0.171101269771351,0.295932908759383,-6.3405806799243,"CG44014"
"mdg1{}2139",-1.63985682655603,-2.79505500437087,-1.46888750059534,0.171112912860084,0.295932908759383,-4.7914901689308,"mdg1{}2139"
"CG12325",-0.163349777185219,1.8669698981795,-1.4414927079023,0.171239465147153,0.296112897790708,-5.84270647910604,"CG12325"
"CG42806",0.126756936779079,4.38998151982042,1.44141200642561,0.171261873510919,0.296112897790708,-6.31952388245967,"CG42806"
"lncRNA:CR46131",-0.160952472304577,1.52238255186093,-1.44136374577818,0.171275275198497,0.296112897790708,-5.7443427981156,"lncRNA:CR46131"
"CG13251",-0.309167322509622,0.159174323675606,-1.44094885129579,0.171390524771922,0.296260031702031,-5.3540172830789,"CG13251"
"CG7791",-0.0986816182507863,3.81266798542175,-1.44088693905994,0.171407728296885,0.296260031702031,-6.24588780538628,"CG7791"
"asRNA:CR45738",0.212845940317637,1.29598625754626,1.44084746338416,0.171418698133104,0.296260031702031,-5.68575160822882,"asRNA:CR45738"
"CG7920",-0.110519953947663,9.41983072876716,-1.43992444888179,0.171675359336143,0.296669971230619,-6.35723526431129,"CG7920"
"CG44085",-0.118889233485323,8.70519558644763,-1.43967246614741,0.171745483154306,0.296757501504719,-6.38991194096807,"CG44085"
"Doc{}1733",0.314482764947024,-0.900484132659149,1.43893388401855,0.171951158732937,0.297079204068695,-5.12209490152715,"Doc{}1733"
"CG8661",-0.184904806245416,6.32802678787356,-1.44955838982665,0.172055609527916,0.297225967944393,-6.43378778687073,"CG8661"
"CG17807",0.136520094737396,1.78867708672993,1.43743586211523,0.17236894555538,0.297733506773659,-5.82155768603325,"CG17807"
"accord{}818",-0.114236403719957,7.36234502678377,-1.43690259932307,0.172517871439864,0.297956976512185,-6.44042613725544,"accord{}818"
"CG42268",0.0885067684382876,6.63118782504495,1.43646728376102,0.172639522373843,0.298107259257039,-6.45312640122431,"CG42268"
"HeT-A{}6268",-0.122108642741965,4.86405532091223,-1.43645124001321,0.172644007231144,0.298107259257039,-6.37392430942428,"HeT-A{}6268"
"PIG-Wb",0.14584793140541,3.56188045670126,1.43607051853599,0.172750462168699,0.298257283726177,-6.21851298193928,"PIG-Wb"
"Jon99Fii",0.24386337004852,7.70839294243014,1.45728858617631,0.172802459544414,0.298296454108298,-6.40412389766689,"Jon99Fii"
"Or59a",0.554508903924607,-1.49883317835835,1.43584946705498,0.172812296149748,0.298296454108298,-5.01850775281027,"Or59a"
"dmrt99B",-0.304327192693636,0.309542200938424,-1.43559296626853,0.172884069234776,0.298386547580746,-5.38936446789708,"dmrt99B"
"Cpr76Bb",0.589881591628097,-1.09476207423019,1.43578249402213,0.172973910024369,0.298507800789422,-5.08227748946991,"Cpr76Bb"
"cm",0.117879471974115,3.64843530295573,1.43452854008489,0.173182176966866,0.298833376016195,-6.22617841249297,"cm"
"CG3589",-0.119559145529227,3.35444462141721,-1.43435419767367,0.173231044613398,0.298883858248408,-6.17585929511842,"CG3589"
"HMS-Beagle2{}265",-5.22145553035906,1.1293583416551,-1.47639693640672,0.173322737356424,0.29900820888747,-5.14653279876128,"HMS-Beagle2{}265"
"CG12236",0.119700478268033,3.7089287885722,1.43372889323881,0.173406409513582,0.299118696206789,-6.23159031139316,"CG12236"
"row",-0.0994307983674638,4.7644589474211,-1.43360945564152,0.173439922178811,0.299121975594848,-6.37157912594695,"row"
"CG5071",-0.0817884532113004,5.99904432522556,-1.43351771972663,0.173465665748058,0.299121975594848,-6.45012986424756,"CG5071"
"CG32457",0.104932950230382,5.39221668149729,1.43346525098519,0.173480391313269,0.299121975594848,-6.42619260064774,"CG32457"
"CG31176",-0.177012415526743,2.67697278709519,-1.43341654353762,0.173494062182812,0.299121975594848,-6.02141064172931,"CG31176"
"CG13887",-0.0652486072224941,7.26963930976659,-1.43337241806382,0.173506447785988,0.299121975594848,-6.44728262126102,"CG13887"
"sqa",-0.103656447915673,6.524899227789,-1.43270452693953,0.173694007957491,0.299399763293856,-6.4581131177559,"sqa"
"asRNA:CR43926",-0.399726164529409,-1.22946221645779,-1.43265874589869,0.173706870540963,0.299399763293856,-5.06475845927062,"asRNA:CR43926"
"Sox14",-0.138788034332906,6.33116367489839,-1.4329400701623,0.17380376083541,0.299532886478758,-6.45570716362811,"Sox14"
"asRNA:CR31912",0.16653501231566,2.16272834871227,1.43187922380459,0.173926005170225,0.299709669696318,-5.91904385494464,"asRNA:CR31912"
"peng",-0.101653586414278,3.64920527585042,-1.43169929396592,0.173976618480504,0.299762992158608,-6.22519399436991,"peng"
"CG32459",-0.102677891419925,5.65693038214068,-1.43128951759337,0.174091931913586,0.299927768750063,-6.44305030762676,"CG32459"
"CG43209",-0.145844183999593,4.02815877438422,-1.4311178430595,0.174140260920432,0.299961626190935,-6.29948022829944,"CG43209"
"cwo",-0.12664008081025,5.99946464666605,-1.43107988079063,0.174150949379094,0.299961626190935,-6.4527347124152,"cwo"
"RNASEK",0.122040322833098,6.16522741763188,1.43081266623007,0.174226200284753,0.30005732764602,-6.45827788315774,"RNASEK"
"CG9592",0.210231613421712,1.84225619481551,1.43054502650438,0.17430159789977,0.300153260112146,-5.87126647791776,"CG9592"
"Atg14",-0.0911053168212032,4.969116179972,-1.43032683583717,0.174363085049029,0.300203447375153,-6.39568807253118,"Atg14"
"shakB",0.213216833031831,5.24128210235625,1.44521938849614,0.174370138855962,0.300203447375153,-6.39744859698822,"shakB"
"PEK",0.0733732426509598,5.68881450141714,1.42989638729039,0.174484440103115,0.300366301499094,-6.44383708403847,"PEK"
"INE-1{}2439",0.228924784483601,1.62703590824762,1.4293783931408,0.174630569282822,0.300533095850992,-5.83147761496546,"INE-1{}2439"
"CG8366",0.094154970546805,3.31987828864809,1.42936354190028,0.174634760397547,0.300533095850992,-6.17641186626541,"CG8366"
"CG46042",0.214667782202323,0.816941672070452,1.42930415146916,0.174651521587669,0.300533095850992,-5.59760008725122,"CG46042"
"sli",0.113912458055418,5.47562893804595,1.42924301248496,0.174668777645579,0.300533095850992,-6.43050423734033,"sli"
"CG34289",0.177733577617698,1.75869343452948,1.42920349491515,0.174679931958536,0.300533095850992,-5.84199586882875,"CG34289"
"CG18764",0.182814468059247,1.45136899507714,1.42895445814377,0.174750239166457,0.30062012020508,-5.72764028577948,"CG18764"
